"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2723","","PageTransitionsTest","","PageTransitionsTest","","transitionsPageConstructor",""
"passed","","","2262","","EnterTest","","EnterTest","","enterFromRegistration",""
"passed","","","1232","","PartitionSwitchingCompoundTest","","PartitionSwitchingCompoundTest","","transitionsIngredientBurger",""
"passed","","","2426","","EnterTest","","EnterTest","","enterFromRestorePassword",""
"passed","","","1915","","RegistrationTest","","RegistrationTest","","RegistrationPositive",""
"passed","","","3486","","PageTransitionsTest","","PageTransitionsTest","","transitionsPageLogo",""
"passed","","","2342","","PageTransitionsTest","","PageTransitionsTest","","transitionsPagePersonalArea",""
"passed","","","1245","","RegistrationTest","","RegistrationTest","","RegistrationNegative",""
"passed","","","2831","","ExitTest","","ExitTest","","exitAccount",""
"passed","","","1952","","EnterTest","","EnterTest","","enterFromPersonArea",""
"passed","","","13067","","EnterTest","","EnterTest","","enterAccount",""
